"datetime","library","people_in","people_out","opening_type"
"2020-01-01 00:00:00","Chipping Barnet",0,0,"closed"
"2020-01-01 00:00:00","Colindale",0,0,"closed"
"2020-01-01 00:00:00","Edgware",0,0,"closed"
"2020-01-01 00:00:00","Finchley Church End",0,0,"closed"
"2020-01-01 00:00:00","Golders Green",0,0,"closed"
"2020-01-01 00:00:00","North Finchley",0,0,"closed"
"2020-01-01 00:00:00","Osidge",0,0,"closed"
"2020-01-01 01:00:00","Chipping Barnet",0,0,"closed"
"2020-01-01 01:00:00","Colindale",0,0,"closed"
"2020-01-01 01:00:00","Edgware",0,0,"closed"
"2020-01-01 01:00:00","Finchley Church End",0,0,"closed"
"2020-01-01 01:00:00","Golders Green",0,0,"closed"
"2020-01-01 01:00:00","North Finchley",0,0,"closed"
"2020-01-01 01:00:00","Osidge",0,0,"closed"
"2020-01-01 02:00:00","Chipping Barnet",0,0,"closed"
"2020-01-01 02:00:00","Colindale",0,0,"closed"
"2020-01-01 02:00:00","Edgware",0,0,"closed"
"2020-01-01 02:00:00","Finchley Church End",0,0,"closed"
"2020-01-01 02:00:00","Golders Green",0,0,"closed"
"2020-01-01 02:00:00","North Finchley",0,0,"closed"
"2020-01-01 02:00:00","Osidge",0,0,"closed"
"2020-01-01 03:00:00","Chipping Barnet",0,0,"closed"
"2020-01-01 03:00:00","Colindale",0,0,"closed"
"2020-01-01 03:00:00","Edgware",0,0,"closed"
"2020-01-01 03:00:00","Finchley Church End",0,0,"closed"
"2020-01-01 03:00:00","Golders Green",0,0,"closed"
"2020-01-01 03:00:00","North Finchley",0,0,"closed"
"2020-01-01 03:00:00","Osidge",0,0,"closed"
"2020-01-01 04:00:00","Chipping Barnet",0,0,"closed"
"2020-01-01 04:00:00","Colindale",0,0,"closed"
"2020-01-01 04:00:00","Edgware",0,0,"closed"
"2020-01-01 04:00:00","Finchley Church End",0,0,"closed"
"2020-01-01 04:00:00","Golders Green",0,0,"closed"
"2020-01-01 04:00:00","North Finchley",0,0,"closed"
"2020-01-01 04:00:00","Osidge",0,0,"closed"
"2020-01-01 05:00:00","Chipping Barnet",0,0,"closed"
"2020-01-01 05:00:00","Colindale",0,0,"closed"
"2020-01-01 05:00:00","Edgware",0,0,"closed"
"2020-01-01 05:00:00","Finchley Church End",0,0,"closed"
"2020-01-01 05:00:00","Golders Green",0,0,"closed"
"2020-01-01 05:00:00","North Finchley",0,0,"closed"
"2020-01-01 05:00:00","Osidge",0,0,"closed"
"2020-01-01 06:00:00","Chipping Barnet",0,0,"closed"
"2020-01-01 06:00:00","Colindale",0,0,"closed"
"2020-01-01 06:00:00","Edgware",0,0,"closed"
"2020-01-01 06:00:00","Finchley Church End",0,0,"closed"
"2020-01-01 06:00:00","Golders Green",0,0,"closed"
"2020-01-01 06:00:00","North Finchley",0,0,"closed"
"2020-01-01 06:00:00","Osidge",0,0,"closed"
"2020-01-01 07:00:00","Chipping Barnet",0,0,"SSO"
"2020-01-01 07:00:00","Colindale",0,0,"SSO"
"2020-01-01 07:00:00","Edgware",0,0,"SSO"
"2020-01-01 07:00:00","Finchley Church End",0,0,"SSO"
"2020-01-01 07:00:00","Golders Green",0,0,"closed"
